Frame 109, Confidence: 0.25, BBox: [599, 403, 639, 458]
Frame 143, Confidence: 0.43, BBox: [376, 351, 590, 452]
Frame 144, Confidence: 0.43, BBox: [376, 351, 590, 452]
Frame 239, Confidence: 0.26, BBox: [376, 414, 600, 585]
Frame 240, Confidence: 0.26, BBox: [376, 414, 599, 585]
Frame 241, Confidence: 0.26, BBox: [375, 414, 599, 585]
Frame 248, Confidence: 0.38, BBox: [977, 480, 1003, 536]
Frame 249, Confidence: 0.38, BBox: [977, 480, 1003, 536]
Frame 250, Confidence: 0.37, BBox: [977, 480, 1003, 536]
Frame 253, Confidence: 0.38, BBox: [977, 467, 1003, 522]
Frame 254, Confidence: 0.38, BBox: [977, 467, 1003, 522]
Frame 255, Confidence: 0.39, BBox: [977, 467, 1003, 522]
Frame 263, Confidence: 0.37, BBox: [977, 442, 1003, 498]
Frame 263, Confidence: 0.28, BBox: [383, 66, 592, 164]
Frame 264, Confidence: 0.36, BBox: [977, 442, 1003, 498]
Frame 264, Confidence: 0.28, BBox: [384, 66, 592, 164]
Frame 265, Confidence: 0.36, BBox: [977, 442, 1003, 498]
Frame 265, Confidence: 0.28, BBox: [383, 66, 592, 164]
Frame 266, Confidence: 0.30, BBox: [978, 434, 1003, 492]
Frame 267, Confidence: 0.30, BBox: [978, 434, 1003, 492]
Frame 268, Confidence: 0.30, BBox: [978, 429, 1003, 487]
Frame 269, Confidence: 0.30, BBox: [978, 429, 1003, 487]
Frame 270, Confidence: 0.29, BBox: [978, 429, 1003, 487]
Frame 273, Confidence: 0.35, BBox: [978, 416, 1003, 473]
Frame 274, Confidence: 0.35, BBox: [978, 416, 1003, 473]
Frame 275, Confidence: 0.35, BBox: [978, 416, 1003, 473]
